Company,alpha_a,alpha_b,beta_a,std,alpha_adj,date,search_pressure
Take-Two_Interactive,-0.2738545151456334,-0.0034892041471884083,-0.056764542444803966,0.42610178530118414,-0.3321058137068346,2021-07-13,-0.29715503457011394
Ametek,-0.2935615359145042,-0.2388685989281129,0.09649230888020074,0.44322819869470137,-0.302942525861938,2021-07-13,-0.2973139318934777
Comcast,-0.2788440679127234,0.21578942032830728,-0.20457684569009388,0.729497284591288,-0.32600311742978905,2021-07-13,-0.2977076877195497
Welltower,-0.2642179418380275,-0.1556819498359397,0.047158497482976916,0.8673524672430657,-0.3520905676504641,2021-07-13,-0.2993669921630021
Microchip_Technology,-0.2782845986093193,-0.06949825897459223,-0.013549045289160826,0.6586306543359273,-0.33760732768212354,2021-07-13,-0.30201369023844105
Centene_Corporation,-0.29063859424774247,0.17944298753788607,-0.1828000908485676,0.8502114222943634,-0.32087420744097417,2021-07-13,-0.30273283952503516
ConocoPhillips,-0.2704406106207827,-0.1697216800396819,0.05521062944668245,0.8143387221087923,-0.3534409172117721,2021-07-13,-0.30364073325717844
Ford_Motor_Company,-0.2224290101960425,-0.637697589529448,0.3787290728969398,0.9199148197083288,-0.4303274003995207,2021-07-13,-0.3055883662774338
Yum!_Brands,-0.2851352431407919,-0.0963608151519628,0.002948266012162774,0.6437742969046193,-0.34422159315224,2021-07-13,-0.3087697831453712
DaVita_Inc.,-0.2899992007581379,-0.17639105551775222,0.05545274170051973,0.587686226722936,-0.3382090529025219,2021-07-13,-0.3092831416158915
Duke_Realty,-0.31194409874062357,0.5159450332863883,-0.41257632491259044,0.8104858817781696,-0.30635425840102853,2021-07-13,-0.30970816260478556
American_Electric_Power,-0.2919059634860645,-0.089780252563364,-0.0029164361569081997,0.5133622244082953,-0.3409121898068398,2021-07-13,-0.3115084540143746
Microsoft,-0.2930705730564151,-0.18050832810033482,0.05754509263719999,0.592691489319319,-0.34251123023554286,2021-07-13,-0.31284683592806617
Teradyne,-0.28798967836223927,0.08691036155449247,-0.12030802264314273,0.6291030548757564,-0.3536221270510943,2021-07-13,-0.31424265783778127
Marathon_Petroleum,-0.26872794948791534,-0.2904323145538702,0.1363566356623345,0.8649051660373945,-0.3835677230674207,2021-07-13,-0.3146638589197175
Amazon_(company),-0.29988696436523093,-0.3022912392811002,0.1375680183471395,0.584734001488086,-0.33907891197772166,2021-07-13,-0.3155637434102272
Campbell_Soup_Company,-0.2932075859470442,-0.5061487444199388,0.2754255857001399,0.6557232129290756,-0.34967548115796415,2021-07-13,-0.31579474403141217
M%26T_Bank,-0.3110192617288742,-0.2628096750119343,0.10874557102965687,0.46513521825369764,-0.32451572624507674,2021-07-13,-0.3164178475353552
People%27s_United_Financial,-0.29720379525707047,-0.2957741788015195,0.1337860154812204,0.6933436172845716,-0.36849091880546925,2021-07-13,-0.32571864467642997
State_Street_Corporation,-0.2964159711359519,-0.06750976384664979,-0.01879255189601202,0.8245280140003506,-0.37087221454207475,2021-07-13,-0.32619846849840106
Norfolk_Southern_Railway,-0.29434936003562384,-0.28061516737826286,0.12425800500324251,0.758480093377187,-0.3829323733885011,2021-07-13,-0.32978256537677475
Caesars_Entertainment_(2020),-0.2876813993583228,-0.2879221041274167,0.13058660164340546,0.8306062723952515,-0.39624470336438844,2021-07-13,-0.33110672096074906
Entergy,-0.3083703458433709,-0.4347650722860715,0.22438528335347818,0.6533347735761534,-0.3680322025507332,2021-07-13,-0.33223508852631584
Wynn_Resorts,-0.2971467065526418,-0.25921503284122127,0.10933390996709871,0.7741422157862899,-0.38848209647436205,2021-07-13,-0.3336808625213299
Universal_Health_Services,-0.30843885228868567,-0.24614818675247696,0.09815300590885295,0.661233090367214,-0.3730471725944592,2021-07-13,-0.33428218041099506
Thermo_Fisher_Scientific,-0.3193656303163857,-0.37078124504380033,0.17919612981816702,0.5916083653625293,-0.3595267867856648,2021-07-13,-0.3354300929040973
Alexion_Pharmaceuticals,-0.3259422490666,-0.2516208049761848,0.09803780236822303,0.5081251564180246,-0.35575930758493013,2021-07-13,-0.33786907247393205
Corteva,-0.3233390041446412,-0.274417529734161,0.11385457082882039,0.5657607146217831,-0.3647390910429641,2021-07-13,-0.33989903890397033
Altria,-0.3129831131612301,0.06537665425777456,-0.1112919594499964,0.6632209838714596,-0.38091590365216105,2021-07-13,-0.3401562293576025
Netflix,-0.3281915440210998,-0.30208201519641203,0.13131971508377827,0.5363594032191076,-0.35889635833129446,2021-07-13,-0.34047346974517767
Alaska_Air_Group,-0.31342840505577607,-0.02984319797037549,-0.047669417998283885,0.6917988759307578,-0.3817433138641448,2021-07-13,-0.34075436857912356
Kimco_Realty,-0.3265588070744321,-0.25631784186991535,0.10104787990575081,0.5635071495834353,-0.369947863628175,2021-07-13,-0.3439144296959292
L_Brands,-0.3220259639427745,-0.257923864782766,0.10310080289269734,0.6351912997198034,-0.3827561559501971,2021-07-13,-0.34631804074574357
Lam_Research,-0.3470764874461943,0.46682463998967183,-0.3872880182978539,0.830596426539859,-0.34662162794787066,2021-07-13,-0.34689454364686484
Chevron_Corporation,-0.32030188506902046,-0.04685562358336146,-0.037768484829069165,0.7082879339294652,-0.39125764271892544,2021-07-13,-0.34868418812898244
Amphenol,-0.2905472523206572,-0.44458351834337756,0.2348018601778116,0.868912514989479,-0.442049575189461,2021-07-13,-0.3511481814681787
Rockwell_Automation,-0.31217245355833834,-0.23589992498349655,0.09048940353315515,0.8018425906129929,-0.4108376569993607,2021-07-13,-0.3516385349347473
Williams_Companies,-0.3255426281355975,-0.16916947912224392,0.04294976920274615,0.6398879269077342,-0.39084236622444524,2021-07-13,-0.35166252337113657
Dexcom,-0.35392713197766645,-0.6074033489413367,0.330078884649015,0.5531365733465357,-0.35982525440127255,2021-07-13,-0.35628638094710885
Jack_Henry_%26_Associates,-0.32994987611751253,0.022284306100920408,-0.08611721354465007,0.7346736103127002,-0.3996953980456861,2021-07-13,-0.35784808488878195
Procter_%26_Gamble,-0.33383190801867996,-0.028119468860164837,-0.05322608931005596,0.7129943544417089,-0.4071070198759329,2021-07-13,-0.3631419527615811
Globe_Life,-0.33686902709429917,-0.04609253455068686,-0.04185441147419014,0.564550224077254,-0.4047449892773682,2021-07-13,-0.3640194119675268
Whirlpool_Corporation,-0.3347681627713148,-0.21771526087874676,0.07344441336755379,0.7044939536079,-0.4147028343010047,2021-07-13,-0.3667420313831908
Electronic_Arts,-0.3561307559686241,-0.2428941598427699,0.08568330074366849,0.4636827919506282,-0.38307329740935336,2021-07-13,-0.3669077725449158
PPL_Corporation,-0.339141157530571,0.013392829880146801,-0.08215080287216225,0.8488779858175504,-0.40992308194967714,2021-07-13,-0.36745392729821347
NXP_Semiconductors,-0.3444161538198046,0.3527913080282149,-0.3104057752089365,0.6976735625998755,-0.4086887603024264,2021-07-13,-0.37012519641285335
Royal_Caribbean_Group,-0.34843519861160344,0.17812270790976645,-0.194389443823592,0.7730825626519868,-0.4051210829378019,2021-07-13,-0.3711095523420828
T-Mobile_US,-0.3432515442494548,-0.08141047991771667,-0.019597949910896747,0.6218557261663625,-0.41347506726713534,2021-07-13,-0.371340953456527
Public_Storage,-0.3482525147574305,-0.43077109450572576,0.21310580942089793,0.6293333626089642,-0.4062453267565649,2021-07-13,-0.3714496395570843
Arthur_J._Gallagher_%26_Co.,-0.3422353653106207,-0.25247619219066153,0.09509405414196798,0.6738356390137581,-0.41726876746920755,2021-07-13,-0.37224872617405547
MSCI,-0.318029754632748,-0.2891898161133177,0.12488556653651292,0.9209384297169431,-0.45947020323776544,2021-07-13,-0.37460593407475495
AES_Corporation,-0.360686434582054,-0.27359980284803304,0.10524757261416767,0.5351063474279192,-0.4018438531268961,2021-07-13,-0.37714940199999086
Caterpillar_Inc.,-0.3338661612413367,-0.2399279478082487,0.08850322056529047,0.8215151247843193,-0.44246737865898533,2021-07-13,-0.37730664820839616
PerkinElmer,-0.34056837514129434,-0.4040776525875925,0.1969015381418181,0.7148638691602288,-0.43252735116942537,2021-07-13,-0.3773519655525468
Regeneron_Pharmaceuticals,-0.35465786739435806,-0.6651440283728917,0.3685597421740648,0.6436258219527627,-0.41420199719876744,2021-07-13,-0.3784755193161218
Gap_Inc.,-0.33420869346791066,-0.3303982717024265,0.14896967785311546,0.795464754058028,-0.44805919555576346,2021-07-13,-0.3797488943030518
Ansys,-0.35184910313645273,-0.03419753939251015,-0.053047020705013034,0.5126016826383551,-0.4224258400761579,2021-07-13,-0.3800797979123348
Loews_Corporation,-0.326079261957229,-0.4426478942863512,0.22583857293821627,0.816510425065222,-0.46166730933698685,2021-07-13,-0.38031448090913217
JPMorgan_Chase,-0.36041240880079506,-0.268645592894862,0.10199148109861046,0.5809703343283861,-0.4144960476221601,2021-07-13,-0.38204586432934107
Moody%27s_Corporation,-0.35281961111174504,0.038864013086112585,-0.10214734471240365,0.5467179424974064,-0.43371930255251695,2021-07-13,-0.38517948768805377
Expedia_Group,-0.35398422068209656,-0.09969448623246706,-0.009678945598053679,0.7208127346225667,-0.4355242215281666,2021-07-13,-0.3866002210205246
American_Airlines_Group,-0.36850758708881864,-0.13208979847690466,0.008864922719164984,0.4186038197691393,-0.4149359585646218,2021-07-13,-0.38707893567913987
IBM,-0.3664067227658336,-0.22209681226912298,0.06954864443833875,0.5499461892279432,-0.4189993738745729,2021-07-13,-0.3874437832093293
Paccar,-0.3796741376751197,-0.3774681093932898,0.1706558716225956,0.518593608868193,-0.4047708151354441,2021-07-13,-0.38971280865924945
